iter	Passed	Remaining
1220	14931	9526
1221	14938	9511
1222	14946	9495
1223	14962	9486
1224	14975	9474
1225	14980	9457
1226	14986	9441
1227	14996	9427
1228	15003	9412
1229	15013	9398
1230	15021	9383
1231	15028	9368
1232	15051	9362
1233	15060	9348
1234	15066	9332
1235	15073	9317
1236	15080	9301
1237	15087	9286
1238	15095	9271
1239	15103	9256
1240	15109	9241
1241	15117	9226
1242	15134	9216
1243	15157	9211
1244	15164	9196
1245	15172	9181
1246	15181	9167
1247	15193	9155
1248	15199	9139
1249	15207	9124
1250	15214	9109
1251	15222	9094
1252	15228	9078
1253	15259	9078
1254	15265	9062
1255	15273	9047
1256	15279	9031
1257	15285	9015
1258	15291	9000
1259	15297	8984
1260	15303	8968
1261	15309	8952
1262	15315	8936
1263	15329	8926
1264	15341	8913
1265	15349	8899
1266	15356	8884
1267	15367	8871
1268	15382	8860
1269	15389	8845
1270	15395	8830
1271	15402	8815
1272	15408	8799
1273	15418	8786
1274	15424	8770
1275	15431	8755
1276	15438	8740
1277	15443	8724
1278	15450	8709
1279	15456	8694
1280	15462	8678
1281	15469	8663
1282	15474	8648
1283	15481	8633
1284	15495	8622
1285	15502	8607
1286	15508	8591
1287	15514	8576
1288	15520	8560
1289	15525	8545
1290	15533	8530
1291	15539	8515
1292	15548	8501
1293	15555	8487
1294	15564	8473
1295	15580	8463
1296	15589	8449
1297	15597	8435
1298	15604	8420
1299	15611	8406
1300	15617	8391
1301	15623	8375
1302	15630	8361
1303	15636	8345
1304	15642	8330
1305	15648	8315
1306	15661	8304
1307	15668	8289
1308	15675	8274
1309	15680	8259
1310	15686	8244
1311	15693	8229
1312	15698	8214
1313	15704	8198
1314	15711	8184
1315	15717	8169
1316	15723	8154
1317	15733	8141
1318	15745	8129
1319	15754	8115
1320	15761	8101
1321	15772	8089
1322	15780	8075
1323	15809	8072
1324	15817	8057
1325	15825	8044
1326	15833	8030
1327	15841	8016
1328	15847	8001
1329	15865	7992
1330	15872	7978
1331	15878	7963
1332	15884	7948
1333	15891	7933
1334	15897	7918
1335	15903	7904
1336	15909	7889
1337	15914	7874
1338	15930	7863
1339	15936	7849
1340	15942	7834
1341	15949	7820
1342	15957	7806
1343	15969	7794
1344	15977	7780
1345	15985	7767
1346	15993	7753
1347	16000	7739
1348	16010	7726
1349	16024	7715
1350	16030	7700
1351	16039	7687
1352	16044	7672
1353	16052	7658
1354	16059	7644
1355	16065	7629
1356	16071	7615
1357	16077	7600
1358	16084	7586
1359	16092	7572
1360	16102	7560
1361	16107	7545
1362	16113	7530
1363	16119	7516
1364	16125	7501
1365	16133	7488
1366	16142	7474
1367	16160	7465
1368	16177	7456
1369	16185	7443
1370	16226	7444
1371	16239	7433
1372	16254	7422
1373	16271	7413
1374	16284	7402
1375	16293	7388
1376	16383	7412
1377	16391	7398
1378	16399	7385
1379	16429	7381
1380	16436	7367
1381	16445	7354
1382	16453	7340
1383	16463	7327
1384	16470	7313
1385	16478	7299
1386	16484	7285
1387	16491	7271
1388	16506	7260
1389	16515	7247
1390	16522	7233
1391	16529	7219
1392	16535	7205
1393	16542	7191
1394	16548	7177
1395	16556	7163
1396	16563	7149
1397	16569	7135
1398	16581	7123
1399	16597	7113
1400	16604	7099
1401	16613	7086
1402	16622	7072
1403	16630	7059
1404	16647	7049
1405	16657	7037
1406	16663	7022
1407	16669	7008
1408	16680	6996
1409	16688	6983
1410	16699	6971
1411	16708	6958
1412	16715	6943
1413	16723	6930
1414	16729	6916
1415	16736	6902
1416	16742	6888
1417	16749	6874
1418	16760	6862
1419	16767	6848
1420	16775	6835
1421	16783	6821
1422	16789	6807
1423	16795	6793
1424	16804	6780
1425	16811	6767
1426	16821	6754
1427	16829	6741
1428	16846	6731
1429	16856	6719
1430	16870	6707
1431	16875	6693
1432	16883	6680
1433	16890	6666
1434	16897	6652
1435	16903	6638
1436	16909	6624
1437	16916	6611
1438	16922	6597
1439	16930	6584
1440	16941	6572
1441	16951	6559
1442	16957	6545
1443	16966	6532
1444	16973	6519
1445	16980	6505
1446	16986	6491
1447	16992	6477
1448	16998	6463
1449	17012	6453
1450	17022	6440
1451	17031	6427
1452	17039	6414
1453	17048	6401
1454	17057	6389
1455	17065	6376
1456	17071	6362
1457	17082	6350
1458	17088	6336
1459	17100	6324
1460	17113	6313
1461	17119	6299
1462	17126	6286
1463	17132	6272
1464	17138	6258
1465	17144	6244
1466	17150	6231
1467	17157	6217
1468	17164	6204
1469	17170	6190
1470	17181	6178
1471	17188	6165
1472	17196	6152
1473	17201	6138
1474	17208	6125
1475	17217	6112
1476	17223	6098
1477	17232	6086
1478	17240	6073
1479	17250	6060
1480	17259	6048
1481	17290	6043
1482	17297	6030
1483	17305	6017
1484	17311	6003
1485	17317	5989
1486	17324	5976
1487	17330	5963
1488	17337	5949
1489	17343	5936
1490	17349	5922
1491	17364	5912
1492	17372	5899
1493	17378	5885
1494	17384	5872
1495	17391	5859
1496	17397	5845
1497	17404	5832
1498	17410	5818
1499	17416	5805
1500	17423	5792
1501	17429	5778
1502	17445	5768
1503	17453	5755
1504	17465	5744
1505	17473	5731
1506	17483	5719
1507	17488	5705
1508	17495	5692
1509	17503	5679
1510	17509	5666
1511	17517	5653
1512	17525	5641
1513	17531	5627
1514	17539	5614
1515	17545	5601
1516	17553	5588
1517	17559	5575
1518	17566	5562
1519	17572	5549
1520	17577	5535
1521	17584	5522
1522	17602	5513
1523	17609	5500
1524	17616	5487
1525	17623	5474
1526	17630	5461
1527	17638	5448
1528	17656	5438
1529	17668	5427
1530	17679	5415
1531	17686	5402
1532	17691	5389
1533	17700	5377
1534	17718	5367
1535	17724	5354
1536	17732	5341
1537	17739	5328
1538	17748	5316
1539	17755	5303
1540	17766	5291
1541	17772	5278
1542	17782	5266
1543	17789	5253
1544	17798	5241
1545	17809	5229
1546	17825	5219
1547	17841	5209
1548	17850	5197
1549	17865	5186
1550	17905	5183
1551	17931	5176
1552	17960	5169
1553	17968	5156
1554	17976	5144
1555	17982	5131
1556	17988	5118
1557	17995	5105
1558	18001	5092
1559	18008	5079
1560	18014	5066
1561	18020	5053
1562	18027	5040
1563	18042	5029
1564	18051	5017
1565	18060	5005
1566	18071	4993
1567	18103	4987
1568	18128	4979
1569	18153	4971
1570	18194	4968
1571	18218	4960
1572	18229	4948
1573	18255	4940
1574	18268	4929
1575	18289	4920
1576	18321	4914
1577	18335	4903
1578	18351	4893
1579	18361	4881
1580	18373	4869
1581	18384	4857
1582	18391	4844
1583	18400	4832
1584	18411	4820
1585	18430	4811
1586	18438	4798
1587	18446	4785
1588	18453	4773
1589	18463	4761
1590	18472	4748
1591	18481	4736
1592	18490	4724
1593	18499	4712
1594	18517	4702
1595	18535	4692
1596	18545	4679
1597	18555	4667
1598	18564	4655
1599	18576	4644
1600	18587	4632
1601	18597	4620
1602	18605	4607
1603	18623	4597
1604	18634	4585
1605	18643	4573
